Instructor,Links,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,6A,6B,7A,7B,Final A (Part 1),Final A (Part 2),Final B (Part 1),Final B (Part 2),Final A 22-23,Final B 22-23
"Atar, Ali Kemal",https://quest.cns.utexas.edu/instructor/courses/show?course=3057354,119808,136054,2380856,117822,77941,216774,37841,44876,197898,218082,117130,103496,93701,209450,110101,121375,120482,119876,,
"Flores, Matthias",https://quest.cns.utexas.edu/instructor/courses/show?course=3057374,101735,119808,117822,210815,77941,216774,37841,44876,197898,218082,117130,103496,93701,209450,210755,210779,119907,120482,,
"Saldana, Rick",https://quest.cns.utexas.edu/instructor/courses/show?course=3057394,119801,119808,216361,117822,77941,216774,37841,44876,218082,197898,103496,117130,209450,76897,,,,,121375,120482
"Walker, Patrick",https://quest.cns.utexas.edu/instructor/courses/show?course=3057654,119808,136054,216361,117822,77941,216774,37841,44876,218082,197898,117130,103496,209450,76897,210755,210779,119907,120482,,
"Barron, Regina",https://quest.cns.utexas.edu/instructor/courses/show?course=3057594,,,,,,,,,,,,,,,,,,,,
"DaCosta, Paul",https://quest.cns.utexas.edu/instructor/courses/show?course=3057554,,,,,,,,,,,,,,,,,,,,
"Hammond, Mihaela",https://quest.cns.utexas.edu/instructor/courses/show?course=3057434,,,,,,,,,,,,,,,,,,,,
"Harrison, Jesse",https://quest.cns.utexas.edu/instructor/courses/show?course=3057294,,,,,,,,,,,,,,,,,,,,
"Helgeson, Chad",https://quest.cns.utexas.edu/instructor/courses/show?course=3057314,,,,,,,,,,,,,,,,,,,,
"Hernandez, David",https://quest.cns.utexas.edu/instructor/courses/show?course=3057674,,,,,,,,,,,,,,,,,,,,
"Hernandez, Frank",https://quest.cns.utexas.edu/instructor/courses/show?course=3057174,,,,,,,,,,,,,,,,,,,,
"Ozgun, Mehmet",https://quest.cns.utexas.edu/instructor/courses/show?course=3057354,,,,,,,,,,,,,,,,,,,,
"Pannabecker, Deborah",https://quest.cns.utexas.edu/instructor/courses/show?course=3057454,,,,,,,,,,,,,,,,,,,,
"Price, Eric",https://quest.cns.utexas.edu/instructor/courses/show?course=3057274,,,,,,,,,,,,,,,,,,,,
"Rilling, Paula",https://quest.cns.utexas.edu/instructor/courses/show?course=3057534,,,,,,,,,,,,,,,,,,,,
"Saenz, Errek",https://quest.cns.utexas.edu/instructor/courses/show?course=3061774,,,,,,,,,,,,,,,,,,,,
"Shedd, Ace",https://quest.cns.utexas.edu/instructor/courses/show?course=3057414,,,,,,,,,,,,,,,,,,,,
"Sheffield, Michael",https://quest.cns.utexas.edu/instructor/courses/show?course=3057334,,,,,,,,,,,,,,,,,,,,
"Sorola, Mike",https://quest.cns.utexas.edu/instructor/courses/show?course=3057714,,,,,,,,,,,,,,,,,,,,
"Todoroff, Steven",https://quest.cns.utexas.edu/instructor/courses/show?course=3057574,,,,,,,,,,,,,,,,,,,,
"Torres, Laura",https://quest.cns.utexas.edu/instructor/courses/show?course=3057514,,,,,,,,,,,,,,,,,,,,
"Urby, Alejandro",https://quest.cns.utexas.edu/instructor/courses/show?course=3057494,,,,,,,,,,,,,,,,,,,,
"Villa, Fernando",https://quest.cns.utexas.edu/instructor/courses/show?course=3057214,,,,,,,,,,,,,,,,,,,,
