Instructor,Links,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,6A,6B,7A,7B
"Atar, Ali Kemal",https://quest.cns.utexas.edu/instructor/courses/show?course=3057354,,136054,2380856,117822,77941,216774,37841,44876,197898,218082,117130,103496,93701,209450
"Flores, Matthias",https://quest.cns.utexas.edu/instructor/courses/show?course=3057374,101735,119808,117822,210815,77941,216774,37841,44876,197898,218082,117130,103496,93701,209450
"Saldana, Rick",https://quest.cns.utexas.edu/instructor/courses/show?course=3057394,119801,119808,216361,117822,77941,216774,37841,44876,218082,197898,103496,117130,209450,76897
"Walker, Patrick",https://quest.cns.utexas.edu/instructor/courses/show?course=3057654,,136054,216361,117822,77941,216774,37841,44876,218082,197898,117130,103496,209450,76897
"Barron, Regina",https://quest.cns.utexas.edu/instructor/courses/show?course=3057594,119808,136054,117822,216361,77941,216774,37841,44876,197898,218082,117130,103496,76897,36140
"DaCosta, Paul",https://quest.cns.utexas.edu/instructor/courses/show?course=3057554,101735,119808,216361,117822,109598,147151,37841,44876,218082,197898,117130,103496,36140,73422
"Hammond, Mihaela",https://quest.cns.utexas.edu/instructor/courses/show?course=3057434,119808,136054,216361,117822,77941,216774,37841,44876,218082,197898,117130,103496,209450,76897
"Harrison, Jesse",https://quest.cns.utexas.edu/instructor/courses/show?course=3057294,119808,119801,121071,216368,77941,216774,207439,117498,218082,197898,103496,117130,209450,76897
"Helgeson, Chad",https://quest.cns.utexas.edu/instructor/courses/show?course=3057314,136054,,216368,121071,77941,216774,37841,44876,218082,197898,117130,103496,76897,36140
"Hernandez, David",https://quest.cns.utexas.edu/instructor/courses/show?course=3057674,119808,136054,216361,117822,77941,216774,37841,44876,197898,218082,103496,117130,209450,76897
"Hernandez, Frank",https://quest.cns.utexas.edu/instructor/courses/show?course=3057174,136054,119808,216368,121071,77941,216774,37841,44876,218082,197898,117130,103496,73422,36140
"Ozgun, Mehmet",https://quest.cns.utexas.edu/instructor/courses/show?course=3057354,119808,136054,2380856,117822,77941,216774,37841,44876,197898,218082,117130,103496,93701,209450
"Pannabecker, Deborah",https://quest.cns.utexas.edu/instructor/courses/show?course=3057454,119808,136054,117822,216361,77941,216774,37841,44876,197898,218082,103496,117130,76897,36140
"Price, Eric",https://quest.cns.utexas.edu/instructor/courses/show?course=3057274,119808,119801,216361,117822,77941,216774,37841,44876,218082,197898,117130,103496,209450,76897
"Rilling, Paula",https://quest.cns.utexas.edu/instructor/courses/show?course=3057534,,136054,121071,216368,77941,216774,207439,117498,218082,197898,103496,117130,209450,76897
"Saenz, Errek",https://quest.cns.utexas.edu/instructor/courses/show?course=3061774,119801,119808,2380856,117822,77941,216774,37841,44876,218082,197898,117130,103496,73422,36140
"Shedd, Ace",https://quest.cns.utexas.edu/instructor/courses/show?course=3057414,119808,119801,2380856,117822,77941,216774,37841,44876,218082,197898,117130,103496,76897,36140
"Sheffield, Michael",https://quest.cns.utexas.edu/instructor/courses/show?course=3057334,119808,136054,216361,117822,77941,216774,207439,117498,197898,218082,117130,103496,209450,76897
"Sorola, Mike",https://quest.cns.utexas.edu/instructor/courses/show?course=3057714,136054,119808,121071,216368,77941,216774,207439,117498,218082,197898,117130,103496,73422,36140
"Todoroff, Steven",https://quest.cns.utexas.edu/instructor/courses/show?course=3057574,119801,119808,216361,117822,77941,216774,207439,117498,218082,197898,103496,117130,93701,209450
"Torres, Laura",https://quest.cns.utexas.edu/instructor/courses/show?course=3057514,136054,119808,121071,216368,77941,216774,207439,117498,218082,197898,117130,103496,93701,209450
"Urby, Alejandro",https://quest.cns.utexas.edu/instructor/courses/show?course=3057494,119801,119808,216361,117822,77941,216774,37841,44876,218082,197898,103496,117130,73422,36140
"Villa, Fernando",https://quest.cns.utexas.edu/instructor/courses/show?course=3057214,136054,119808,216361,117822,77941,216774,37841,44876,197898,218082,103496,117130,209450,76897
